Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFC,W3,2-Nov-22,402,406,430,406,426.95,427.65,419.95,148200,62235930,206,105600,71.26
HDFC,EQ,3-Nov-22,2508,2478.6,2514,2476.75,2479,2489.4,2493.49,2582845,6440286038,96706,1541768,59.69
HDFC,W3,3-Nov-22,427.65,406,426,405.2,410,415.15,416.25,91200,37961850,143,47400,51.97
HDFC,EQ,4-Nov-22,2489.4,2480,2512,2469.2,2487.45,2486.65,2486.31,1887494,4692888100,82145,1164167,61.68
HDFC,W3,4-Nov-22,415.15,422,430,401,423,420.6,415.42,42000,17447460,60,30600,72.86
HDFC,EQ,7-Nov-22,2486.65,2500,2510,2471,2510,2507.4,2496.84,2656747,6633480933,90173,1820981,68.54
HDFC,W3,7-Nov-22,420.6,421,435,411,435,433.6,424.12,39000,16540500,62,27600,70.77
HDFC,EQ,9-Nov-22,2507.4,2496.1,2514.2,2495.45,2503,2503.5,2502.77,2907326,7276366417,87304,1978962,68.07
HDFC,W3,9-Nov-22,433.6,425,450,425,445,447.1,442.74,92400,40909350,108,83400,90.26
HDFC,EQ,10-Nov-22,2503.5,2480.2,2508.4,2467.8,2506,2504.1,2489.25,2403520,5982957182,108067,1746422,72.66
HDFC,W3,10-Nov-22,447.1,434.9,446,425,446,445.35,433.14,47400,20530650,70,33000,69.62
HDFC,EQ,11-Nov-22,2504.1,2526,2688,2523.05,2647.25,2651.7,2623.4,9663942,25352426384,326969,5601271,57.96
HDFC,W3,11-Nov-22,445.35,469.8,489.85,465,489.85,489.85,482.49,70800,34160430,105,53400,75.42
HDFC,EQ,14-Nov-22,2651.7,2665,2688,2638,2659,2661.55,2662.32,3589891,9557424098,148679,2436783,67.88
HDFC,W3,14-Nov-22,489.85,538.8,538.8,538.8,538.8,538.8,538.8,136800,73707840,86,134400,98.25
HDFC,EQ,15-Nov-22,2661.55,2665.5,2682,2639.05,2672.1,2675.5,2663.28,2104269,5604266493,121059,1470464,69.88
HDFC,W3,15-Nov-22,538.8,553,574,541,573,571,555.88,145800,81047130,204,91200,62.55
HDFC,EQ,16-Nov-22,2675.5,2650,2714.3,2650,2700,2697.2,2685.23,3723194,9997632639,102976,2074844,64.83
HDFC,W3,16-Nov-22,571,560,604.9,557.1,588,591.4,586.98,106800,62689290,165,50400,55.63
HDFC,EQ,17-Nov-22,2697.2,2679,2705,2651.5,2660.45,2659.25,2677.77,2590306,6936242356,82639,1719746,66.39
HDFC,W3,17-Nov-22,591.4,589.9,598.6,560,560,561,580.72,76800,44599380,97,52800,68.75
HDFC,EQ,18-Nov-22,2659.25,2664,2671.65,2643.05,2663,2667.05,2655.45,2336913,6205548432,100675,1554782,66.53
HDFC,W3,18-Nov-22,561,565.1,565.15,550,565.15,565.15,558.35,27600,15410430,46,16200,58.7
HDFC,EQ,21-Nov-22,2667.05,2648,2654.9,2613.8,2621.95,2618.9,2624.89,2763479,7253842114,109731,2097648,75.91
HDFC,W3,21-Nov-22,565.15,540,549,531,540,537.55,539.89,67200,36280470,104,59400,88.39
HDFC,EQ,22-Nov-22,2618.9,2619,2634.9,2608.1,2630,2625.35,2621.78,1961553,5142756698,109389,1423412,72.57
HDFC,W3,22-Nov-22,537.55,533,545,530,540,540,537.96,21000,11297220,35,12600,60
HDFC,EQ,23-Nov-22,2625.35,2644,2651,2624,2635,2637.45,2635.43,2025693,5338568562,116205,1515625,74.82
HDFC,W3,23-Nov-22,540,547,565,541,555,560.1,552.04,65400,36103170,104,52200,79.82
HDFC,EQ,24-Nov-22,2637.45,2650,2700,2642,2697,2689.05,2670.64,2179610,5820948189,86397,1528299,70.12
HDFC,W3,24-Nov-22,560.1,569,601,569,601,596.8,584.21,94800,55382760,148,72600,76.58
HDFC,EQ,25-Nov-22,2689.05,2697.9,2697.9,2664.1,2677.2,2681.35,2678.9,1810808,4850978138,80035,1177332,65.02
HDFC,W3,25-Nov-22,596.8,597,597,575,588,589.4,584.28,139800,81682920,213,83400,59.66
HDFC,EQ,28-Nov-22,2681.35,2650,2672,2635.9,2658.5,2658.7,2653.08,2152483,5710704754,70598,1462683,67.95
HDFC,W3,28-Nov-22,589.4,573.35,597,560,577,578.3,571.41,74400,42512790,117,65400,87.9
HDFC,EQ,29-Nov-22,2658.7,2658,2681.5,2645.55,2662,2665.25,2667.23,2624497,7000136894,136328,1984372,75.61
HDFC,W3,29-Nov-22,578.3,580,596,579,582,582.35,588.69,37200,21899310,56,19200,51.61
HDFC,EQ,30-Nov-22,2665.25,2675,2700,2666.35,2694,2692.55,2686.2,5491305,14750740640,100501,4018928,73.19
HDFC,W3,30-Nov-22,582.35,590,600,585,600,595.1,593.45,201000,119283990,249,138000,68.66
HDFC,EQ,1-Dec-22,2692.55,2714.95,2728.15,2688.6,2695.5,2700.95,2703.64,3011653,8142424920,102123,1903492,63.2
HDFC,W3,1-Dec-22,595.1,609,634.25,601,606.5,606.5,616.87,215400,132874500,319,134400,62.4
HDFC,EQ,2-Dec-22,2700.95,2672,2684.95,2663,2666,2665.3,2670.66,2710648,7239220408,91852,1899494,70.08
HDFC,W3,2-Dec-22,606.5,590,594,581.1,585,584.95,587.43,108000,63442110,162,90600,83.89
HDFC,EQ,5-Dec-22,2665.3,2659.05,2681,2636.05,2674.15,2675.8,2659.34,3267404,8689152275,107171,2275477,69.64
HDFC,W3,5-Dec-22,584.95,569,597.5,569,595,595.85,581.64,41400,24080070,67,27600,66.67
HDFC,EQ,6-Dec-22,2675.8,2650.5,2692.55,2650.5,2688.3,2684.1,2668.38,2586817,6902601550,85362,1748379,67.59
HDFC,W3,6-Dec-22,595.85,580,603,580,597.35,596.8,593.43,40800,24212040,66,22200,54.41
HDFC,EQ,7-Dec-22,2684.1,2677.1,2682.95,2650,2659.85,2659.85,2661.82,2465806,6563524691,96169,1817041,73.69
HDFC,W3,7-Dec-22,596.8,582,598,575,589,586.3,586.7,144000,84484230,233,99600,69.17
HDFC,EQ,8-Dec-22,2659.85,2652,2674.4,2647.45,2667,2664.8,2662.22,2708472,7210554710,86758,2258995,83.4
HDFC,W3,8-Dec-22,586.3,580,590,575,585,585.15,581.29,138000,80218230,222,100200,72.61
HDFC,EQ,9-Dec-22,2664.8,2672.3,2682.8,2656.65,2670.45,2672.1,2671.18,2556413,6828649802,106004,2004793,78.42
HDFC,W3,9-Dec-22,585.15,597.1,611.8,590.3,600,600.55,600.7,252600,151736760,337,167400,66.27
HDFC,EQ,12-Dec-22,2672.1,2651.1,2702,2651.1,2685,2685.75,2682.44,3387144,9085806817,133449,2552889,75.37
HDFC,W3,12-Dec-22,600.55,598,627.85,591,627.85,623,615.95,213000,131196540,288,87600,41.13
HDFC,EQ,13-Dec-22,2685.75,2693.8,2707,2690,2703.8,2702.6,2699.9,1582885,4273638326,60976,1026584,64.86
HDFC,W3,13-Dec-22,623,630,636,620,631.5,626.6,626.09,198600,124342020,295,114000,57.4
HDFC,EQ,14-Dec-22,2702.6,2710.5,2734.9,2704.8,2725.5,2729.35,2724.27,2534258,6904007793,98194,1880972,74.22
HDFC,W3,14-Dec-22,626.6,638.2,661,635,648,648.85,649.28,145800,94665420,200,76200,52.26
HDFC,EQ,15-Dec-22,2729.35,2725.9,2732.65,2666.9,2673.35,2672.35,2703.66,2102582,5684658948,99356,1433811,68.19
HDFC,W3,15-Dec-22,648.85,654.75,656,599,600,600.35,615.7,129000,79424820,179,85200,66.05
HDFC,EQ,16-Dec-22,2672.35,2651.75,2678.2,2632.1,2661.25,2667.45,2660,3188884,8482430035,80786,2189015,68.65
HDFC,W3,16-Dec-22,600.35,590,625,586,620,619.55,598.35,143400,85803300,232,124200,86.61
HDFC,EQ,19-Dec-22,2667.45,2665.6,2714,2665.15,2710,2710.55,2695.49,2218644,5980322015,77904,1468572,66.19
HDFC,W3,19-Dec-22,619.55,619.7,650,619.7,650,646.85,637.5,49800,31747740,72,24000,48.19
HDFC,EQ,20-Dec-22,2710.55,2680.6,2705,2677.75,2705,2700.3,2691,2239771,6027230371,85037,1707073,76.22
HDFC,W3,20-Dec-22,646.85,629.2,638,623.3,638,637.75,630.34,13200,8320470,22,4200,31.82
HDFC,EQ,21-Dec-22,2700.3,2704,2711.65,2643.9,2662.2,2656.85,2672.55,2043280,5460775763,87385,1279991,62.64
HDFC,W3,21-Dec-22,637.75,644,644,605,605,605,617.22,28800,17775960,48,24600,85.42
HDFC,EQ,22-Dec-22,2656.85,2671,2671,2636.2,2645,2644.45,2650.97,2337299,6196107026,100110,1658544,70.96
HDFC,W3,22-Dec-22,605,610,610.25,590,600,600,602.89,131400,79220190,219,124800,94.98
HDFC,EQ,23-Dec-22,2644.45,2616,2630.85,2605,2626.95,2623.05,2618.07,3137007,8212896274,140079,2363476,75.34
HDFC,W3,23-Dec-22,600,590,590,569.9,571,573.5,573.4,114000,65367480,104,107400,94.21
HDFC,EQ,26-Dec-22,2623.05,2624.55,2680,2616.1,2662,2665.1,2651.17,1157742,3069365724,98249,670440,57.91
